Question,Answer,Difficulty Level,Count,Keyword
What is an operating system?,"An operating system is a software that manages and controls a computer's hardware and software resources, allowing users to interact with the computer and run applications.",Easy,4,"operating system, software, computer, hardware, resources, manage, control, interact"
What is multi-tasking?,Multi,Easy,4,multi
What is deadlock prevention?,Deadlock prevention is a technique used to prevent deadlocks in a system by ensuring that the resources are accessed in a way that avoids the creation of deadlocks.,Medium,1,"deadlock prevention, system resources, access control, concurrency control, operating system."
What is thrashing in operating systems?,"Thrashing is a situation in operating systems where the system spends more time swapping data between memory and secondary storage devices, such as hard disks, than it does executing actual instructions, resulting in a significant decrease in system performance.",Medium,1,"operating systems, thrashing, swap, memory, cache, performance, hard disks, secondary storage"
What is a symbolic link in a file system?,A symbolic link in a file system is a reference to another file or directory that can be accessed by following a sequence of directory entries. It is a type of file that holds a pointer to another file or directory on the same file system.,Easy,4,"symbolic link, file system, reference, directory entry"
What is process scheduling?,"Process scheduling is a type of operating system function that allows the operating system to manage the allocation and deallocation of system resources, such as CPU time and memory, to multiple processes. It determines which processes should execute and for how long, in order to optimize system performance and avoid conflicts.",Medium,1,"process scheduling, operating system, CPU time, memory, system resources, allocation, deallocation, process management, resource allocation."
What is a virtual file system?,A virtual file system is a software,Medium,4,"Virtual filesystem, file system, software"
What is an inode in the Unix file system?,"An inode is a data structure in the Unix file system that stores metadata about a file, such as its permissions, owner, and location on the disk.",Medium,4,"inode, Unix file system, metadata, file permissions, data structure"
What is an orphan process?,"An orphan process is a process in a computer program that has finished execution, but its parent process (or the program that invoked it) has already terminated, leaving the process without a parent process to monitor its termination.",Easy,4,"operating system, process, parent"
What is an operating system kernel mode?,"The operating system kernel mode refers to the highest level of system privilege, where the kernel has unrestricted access to hardware resources, allowing it to manage and control system resources, such as memory and I/O devices.",Medium,0,"operating system, kernel mode, system privilege, hardware resources, memory, I/O devices"
What is the function of an operating system's user interface?,"The function of an operating system's user interface is to provide a way for users to interact with the system, giving them the ability to launch applications, manage files, and perform other tasks.",Easy,3,"operating system, user interface, interface, interaction, applications, management, files"
What is kernel panic?,"A kernel panic is a critical error that occurs when the operating system (OS) detects a serious problem, such as a hardware failure, and cannot recover from it. It is often indicated by a blue screen of death (BSOD) in Windows and a text",Medium,0,"kernel panic, operating system, error, hardware failure, blue screen of death, BSOD, Linux, Windows"
What is a file control block?,"A file control block (FCB) is a data structure used by operating systems to manage file operations. It contains metadata about a file, such as its name, permissions, and location on disk.",Medium,1,"file control block, FCB, operating system, file management, metadata, data structure"
What is file encryption?,File encryption is the process of protecting digital data contained in a file by converting it into a scrambled format that can only be deciphered with the correct decryption key or password.,Easy,3,"file encryption, data protection, decryption key, password, digital security"
What is user authentication in operating systems?,"User authentication is a process in operating systems that verifies the identity of a user and allows or denies access to system resources, ensuring the confidentiality, integrity, and availability of data.",Hard,4,"user authentication, operating systems, identity verification, access control, security"
What is an atomic operation?,"An atomic operation is a single, indivisible action that can't be interrupted or affected by other processes while it's being executed. This ensures that the operation is executed as a whole, without any partial results or errors.",Easy,3,"Atomic operation, indivisible, single action, no interruption"
What is a priority scheduler?,"A priority scheduler is a type of operating system scheduler that allocates CPU time to processes based on their priority, which is a measure of the process's importance or urgency.",Hard,3,"priority, scheduler, operating system, CPU time, processes, priority level"
What is a memory dump?,"A memory dump, also known as a crash dump, is a file that contains a snapshot of the current state of a computer's memory at a specific point in time. It is typically created when a program or the operating system crashes or freezes, allowing developers to troubleshoot and debug the issue.",Medium,1,"memory dump, crash dump, computer memory, crash, debugging, troubleshooting"
What is the difference between a static and dynamic library?,A static library is a pre,Medium,0,"static library, dynamic library, pre"
What are the different types of operating systems?,"There are several types of operating systems, including Windows, macOS, Linux, Chrome OS, Android, and iOS.",Easy,4,"operating systems, Windows, macOS, Linux, Chrome OS, Android, iOS, types of OS"
What is a real-time operating system?,A real,Medium,1,Real
What is multi-tasking?,Multi,Easy,4,multi
What is a system call in Unix?,A system call in Unix is a request from an active process to the kernel for a service that changes the state of the process or the system.,Medium,0,"Unix, system, call, kernel, process"
What is a paging mechanism?,"A paging mechanism is a technique used in computer systems to manage a large amount of data by splitting it into smaller chunks called pages, allowing only a few pages to be stored in memory at a time.",Medium,1,"Paging, memory management, data dividing, page replacement, computer systems"
What is a daemon in an operating system?,"A daemon in an operating system is a computer program that runs in the background, executing specific tasks and services, typically without direct user intervention, to maintain system functionality and performance.",Medium,2,"Operating system, daemon, program, background, task, service, system functionality, performance"
What is deadlock detection?,"Deadlock detection is a process that identifies and resolves deadlocks in a system, where multiple threads or processes are blocked indefinitely, waiting for each other to release resources.",Medium,1,"deadlock detection, deadlock, threads, processes, resources, blocking, congestion, synchronization, system resource pooling"
What is a critical section?,"A critical section is a sequence of code that is executed atomically, ensuring that only one thread or process can execute it at any given time.",Medium,1,"critical section, mutual exclusion, synchronization, atomicity, concurrent programming."
What is a deadlock avoidance algorithm?,A deadlock avoidance algorithm is a method that prevents a system from entering a deadlock state by ensuring that a process will always be able to make progress without blocking.,Medium,2,"deadlock, algorithm, avoidance, process management, operating systems, synchronization, concurrency, resource allocation"
What is the difference between a foreground and background process?,"A foreground process is a program that is currently being executed by the computer, taking over the entire screen and user input, whereas a background process runs independently in the background, allowing the user to continue using the computer.",Easy,4,"foreground process, background process, foreground, background, foreground execution, background execution, multitasking"
What is a file system hierarchy?,"A file system hierarchy is a way of organizing a computer's file system, typically using a tree",Easy,4,"file system, hierarchy, directory, tree"
What are file access permissions in Unix?,"File access permissions in Unix refer to the control over who can read, write, or execute a file. It is determined by the owner, group, and others, with the rwx format indicating the type of access allowed for each category.",Medium,4,"Unix, file access permissions, rwx, owner, group, others, read, write, execute"
What is the difference between the fork() and exec() system calls?,"The fork() system call creates a copy of the current process, whereas the exec() system call replaces the current process with a new one. The fork() system call is used for forking and the exec() system call is used for executing a new program.",Medium,1,"fork, exec, system call, process creation, process execution, copying process, replacing process"
What is a symbolic link in a file system?,"A symbolic link, also known as a symlink, is a special type of file that points to another file or directory, rather than containing actual data. When a symbolic link is accessed, the operating system follows the link to access the target file or directory.",Easy,4,"symbolic link, symlink, file system, operating system, file permission, directory"
What is an inode in the Unix file system?,"An inode is a data structure in the Unix file system that represents a file system object, such as a file, directory, or symbolic link.",Medium,4,"Unix, file system, inode, data structure, file system object"
What is multitasking in an operating system?,"Multitasking in an operating system is the ability of a system to execute multiple tasks or programs concurrently, improving system efficiency and responsiveness.",Easy,4,"multitasking, operating system, concurrent task execution, program execution, system efficiency, responsiveness."
What is file journaling?,"File journaling is a feature in some operating systems that records changes made to files, such as creation, modification, and deletion, into a log file. This log file can be used to recover data in case of a system crash or data loss.",Easy,4,"File journaling, operating system, log file, data recovery, file system"
What is disk scheduling?,"Disk scheduling is the process of deciding the order in which the operating system reads or writes data to the disk. It is done to maximize disk efficiency, minimize seek time, and reduce disk latency.",Medium,1,"disk scheduling, disk efficiency, seek time, disk latency, operating system, disk I/O, storage devices"
What are the advantages of using an operating system?,"The advantages of using an operating system include improved system management, enhanced security, faster processing, and better multitasking capabilities, as well as the ability to run multiple applications simultaneously.",Easy,4,"operating system, advantages, advantages of OS, system management, security, processing speed, multitasking, multiple applications"
What is the role of a resource manager?,"A resource manager is responsible for allocating, managing, and controlling the use of resources such as finances, materials, personnel, and equipment within an organization to ensure efficient and effective use of resources.",Medium,2,"resource management, allocation, management, control, resources, organization, efficiency, effectiveness"
What is dynamic memory allocation?,"Dynamic memory allocation is a way for a program to request memory space from the operating system as needed, freeing up unused memory for other tasks. It allows a program to allocate and deallocate memory at runtime, allowing for more efficient use of memory resources.",Medium,1,"dynamic memory allocation, memory management, operating system, runtime, allocation, deallocation"
What is a priority scheduler?,"A priority scheduler is a type of scheduler that allocates system resources, such as CPU time, to processes based on their priority levels. Higher",Medium,3,"priority, scheduler, resource allocation, CPU time, process, priority level"
What is loadable kernel module?,A loadable kernel module is a small program that can be loaded into or unloaded from the kernel of an operating system as needed.,Medium,1,"kernel, module, loadable, operating system, Linux, kernel driver, kernel extension, dynamic kernel module."
What is a process identifier (PID)?,"A process identifier (PID) is a unique number that the operating system assigns to each running process, allowing the system to distinguish one process from another.",Easy,4,"process, identifier, PID, operating system, running process, uniqueness, number, system processes"
What is short-term scheduling?,Short,Medium,1,Short
What are the different types of file systems?,"There are various types of file systems, including FAT (File Allocation Table), NTFS (New Technology File System), HFS (Hierarchical File System), ext2 (second extended file system), ext3 (third extended file system), ext4 (fourth extended file system), and others like exFAT, ReFS, and APFS, each with its own features and compatibility.",Medium,4,"file systems, FAT, NTFS, HFS, ext2, ext3, ext4, exFAT, ReFS, APFS, compatibility, features"
What is virtual memory?,Virtual memory is a memory management technique used by operating systems to map memory storage into physical storage. It allows a computer to use more memory than is physically available in the system's RAM at any given time.,Medium,1,"memory management, virtual memory, physical storage, RAM, operating system"
What is deadlock in an operating system?,"A deadlock is a situation in an operating system where two or more processes are blocked indefinitely, each waiting for the other to release a resource.",Medium,0,"operating system, process, resource, block, deadlock, waiting, computer science"
What is the purpose of the operating system kernel?,"The operating system kernel acts as the core component of the operating system, managing hardware resources such as CPU time, memory, and storage to provide a platform for running applications and processes.",Medium,1,"operating system, kernel, hardware resources, CPU time, memory, storage, applications, processes"
What is a paging mechanism?,A paging mechanism is a technique used in operating systems to manage memory by dividing it into fixed,Medium,1,"paging, memory management, operating systems, frames, memory allocation, memory deallocation"
What is time-sharing?,Time,Easy,4,time
What is demand paging?,"Demand paging is a memory management technique used in operating systems, where the operating system loads a page of memory into physical memory only when the program actually needs it, reducing memory consumption and increasing system efficiency.",Medium,0,"memory management, operating system, demand paging, memory consumption, physical memory, program, efficiency, technique"
What is the function of an operating system scheduler?,"The function of an operating system scheduler is to allocate and manage the system resources, such as CPU time and memory, among the processes or threads that are competing for these resources.",Medium,0,"operating system, scheduler, allocation, management, system resources, CPU time, memory, processes, threads"
What is a deadlock avoidance algorithm?,A deadlock avoidance algorithm is a method used to prevent deadlocks in a system by analyzing the system's resource allocation and preventing a set of processes from entering a deadlock state.,Medium,2,"deadlock, avoidance, algorithm, process, resource allocation, system, deadlocks prevention"
What is a page table?,A page table is a data structure in an operating system that stores the virtual,Medium,1,"page table, operating system, memory management, virtual"
What is a process state transition diagram?,"A process state transition diagram is a graphical representation that shows the possible states a process can be in, and the possible events that can cause the process to transition from one state to another.",Medium,2,"process state transition, diagram, process modeling, state machine, transition diagram, system dynamics, computer science"
What is a page fault?,A page fault is a situation that occurs when a process attempts to access a physical address of memory that does not correspond to a valid memory page in its virtual address space.,Medium,2,"page fault, memory access, virtual memory, operating system, memory management"
What are file access permissions in Unix?,"File access permissions in Unix are used to control access to files and directories. They determine which users or groups can read, write, or execute files and directories.",Easy,4,"Unix, file access permissions, read, write, execute, users, groups"
What is a system boot process?,"The system boot process is the sequence of events that occurs when a computer starts up, including the loading of hardware devices, bootstrap loader, and eventually the operating system.",Medium,1,"system boot, startup process, boot loader, hardware devices, operating system"
What is the difference between an absolute path and a relative path in Unix?,"An absolute path in Unix is a complete path that starts from the root directory (/) and points to a specific file or directory. A relative path, on the other hand, is a path that is relative to the current working directory and starts from the current directory.",Easy,64,"absolute, relative, path, Unix, directory, file, root, current, working."
What is cooperative multitasking?,"Cooperative multitasking is a technique where multiple programs or threads voluntarily yield control to each other, allowing for smooth and efficient task switching.",Medium,2,"multitasking, cooperative, threads, programs, task switching, process, synchronization"
What is an inode in the Unix file system?,"An inode (index node) is a data structure in a Unix file system that represents a file or directory. Each inode contains metadata about the file or directory, including its name, size, permissions, and ownership.",Easy,4,"inode, Unix file system, metadata, file system, directory"
What are hard links in the context of a file system?,"Hard links are pointers to the same location on the file system, allowing multiple paths to access the same file.",Medium,1,"hard link, file system, pointer, file, path"
What is system performance monitoring?,"System performance monitoring is the process of tracking and analyzing the behavior and performance of computer systems, networks, and applications to identify bottlenecks, optimize resources, and troubleshoot issues.",Medium,1,"system performance, monitoring, tracking, analysis, behavior, computer systems, networks, applications, optimization, troubleshooting"
What is system performance tuning?,"System performance tuning is the process of optimizing a computer system's configuration, settings, and resource allocation to improve its efficiency, speed, and responsiveness.",Medium,2,"system performance, tuning, optimization, efficiency, speed, responsiveness, configuration, settings, resource allocation"
What is the difference between a process and a task?,"A process is a series of tasks that are related to each other and are performed to achieve a specific goal, whereas a task is a specific activity that needs to be completed as part of a process. A process is a higher",Medium,1,"process, task, workflow, sequence of activities, goal"
What is an interrupt vector table?,"An interrupt vector table is a data structure used in computers to store the memory addresses of interrupt handling routines. When an interrupt occurs, the CPU uses the interrupt vector table to determine which routine to execute.",Medium,0,"interrupt vector table, interrupt handling, data structure, CPU, memory addresses, interrupt handling routines"
What is the significance of the root directory in Unix?,"The root directory in Unix, denoted by '/', is the topmost directory of the file system hierarchy, serving as the base for all file and directory paths. It is the starting point for all file system operations and contains essential system files and directories.",Easy,4,"root directory, Unix, file system, hierarchy, file paths, system files"
What is system-level programming?,System,Medium,1,system
What is a process identifier (PID)?,"A process identifier (PID) is a unique number assigned to each process by the operating system, used to identify and manage process resources.",Medium,4,"process, identifier, PID, operating system, unique number"
What is a disk cache?,A disk cache is a memory storage location on a computer that stores frequently accessed data or files from a hard disk or solid,Easy,4,"disk cache, memory storage, hard disk, solid"
What is context switch in an operating system?,"A context switch in an operating system refers to the process of the CPU stopping the execution of the current program and temporarily storing its state, then switching to execute a different program. This is necessary to allow multiple programs to share the CPU resources efficiently and manage multiple tasks simultaneously.",Medium,1,"Operating System, Context Switch, CPU, Interrupt, Multitasking, Process Scheduling, Task Management"
What is a mutex?,"A mutex (short for ""mutual exclusion"") is a synchronization object used to restrict access to a shared resource by multiple processes or threads, ensuring that only one process or thread can access the resource at a time.",Medium,1,"mutual exclusion, synchronization, shared resource, process, thread, resource access"
What is a system call in Unix?,"A system call in Unix is a request to the kernel to perform a specific task or operation, such as reading or writing to the file system, changing system settings, or interacting with hardware devices.",Medium,0,"Unix, system call, kernel, request, task, operation, file system, hardware devices"
What is a paging mechanism?,A paging mechanism is a method used to control the amount of memory used by a process or program by allocating and deallocating memory in fixed,Medium,1,"paging mechanism, memory management, process control, memory allocation, page, fixed"
What is load balancing in operating systems?,"Load balancing in operating systems is a technique used to distribute network or application traffic across multiple computers or servers to improve responsiveness, reliability, and scalability.",Medium,2,"load balancing, operating systems, networks, servers, traffic distribution, responsiveness, reliability, scalability"
What is deadlock detection?,"Deadlock detection is a process used to identify and resolve situations where two or more processes are blocked indefinitely, each waiting for the other to release a resource. It is an essential mechanism in operating systems to prevent and recover from deadlocks.",Medium,1,"deadlock detection, operating system, process blocking, resource waiting, deadlock prevention"
What is a block device?,A block device is a type of storage device that is treated as a collection of blocks rather than as a stream of bytes. This allows for efficient access and management of large amounts of data.,Easy,4,"Block device, storage, access, management, data"
What is a file system hierarchy?,"A file system hierarchy is a way to organize files and directories on a computer's storage device, typically presented as a tree",Medium,4,"file system, hierarchy, directory, tree"
